page,result,general_result,marriage_result,trade_result,category,label
193,هرگز انجام نده,بد است، منصرف شوید که نفع شما در آن است.,خودتان را گول نزنید مورد مناسب شما نیست ترک کنید.,از این امر که سودی نصیبتان نخواهد شد ولی ضرر وجود دارد.,-2,VeryBad
195,انجام نده,بد است به سختی و عذاب می‌افتید و خیری در آن نیست.,گول ظاهر را نخورید اصلا مورد مناسبی نیست.,بعضی مسائل را از شما مخفی می‌کنند که در صورت آگاهی از آن اصلا انجام نمی‌دهید.,-1,Bad
197,انجام نده,بد است موضوع آن چیزی نیست که شما می‌بینید حتما ترک کنید.,مناسب و در شأن شما نیستند منصرف شوید.,در این معامله منفعتی وجود ندارد و ناخواسته مرتکب حرام هم خواهید شد انجام ندهید.,-1,Bad
199,انجام نده,بد است به‌هیچ‌وجه انجام ندهید که به‌شدت پشیمان خواهید شد.,اصلا مورد مناسبی نیست حتما ترک شود.,ضرر هنگفتی خواهید دید ترک کنید.,-1,Bad
201,انجام نده,بد است ترک آن به ثواب نزدیکتر است.,مورد زیاد مناسبی نیست زندگی دلپذیر و خوبی نخواهد بود.,انجام ندهید بهتر است. سود خوبی نخواهید برد در حالیکه زحمت زیادی خواهید کشید.,-1,Bad
203,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کنید.,ان‌شاءالله که مبارک است بعضی سختیها هم شیرینی زندگی است انجام دهید.,ان‌شاءالله که سود خوبی خواهید برد به شرط آنکه موازین شرعی را رعایت کنید.,2,VeryGood
205,انجام بده,خوب است به شرط آنکه موازین شرعی را رعایت کنید.,خوب است به‌شرط آنکه به گناه نیافتید.,خوب است به‌شرط آنکه موازین شرعی را رعایت کنید.,1,Good
207,انجام بده,خوب است با عزم و اراده انجام دهید موفق می‌شوید.,خوب است با توکل به‌خدا و حفظ موازین شرعی اقدام کنید قبلا همه‌ی حرفهایتان را بزنید تا بعدا مشکلی پیش نیاید.,با رعایت تمامی جوانب اقدام نمایید سپس انجام دهید آن هم محکم و مصمم و ترس را از خود دور کنید.,1,Good
209,انجام نده,بد است اقدام نکنید که پشیمان خواهید شد.,در شأن شما نیستند شما را از دین دور کرده و به حرام خواهند انداخت.,بحرام خواهید افتاد ترک کنید.,-1,Bad
211,انجام نده,بد است مکر و حیله در کار است ترک شود.,شما را فریب می‌دهند ترک کنید که به صلاح شما نیست.,فریب و نیرنگ در کار است در صورت انجام ضرر خواهید کرد.,-1,Bad
213,انجام نده,بد است مکر و حیله در کار است ترک کنید.,اصلا به صلاح شما نیست به مشکلاتی برخواهید خورد که از زندگی سیر می‌شوید ترک کنید.,نیرنگ و فریب در کار است انجام ندهید پشیمان خواهید شد.,-1,Bad
215,انجام نده,بد است به‌هیچ‌وجه انجام ندهید که پشیمان خواهید شد.,در صورت انجام یک عمر عذاب می‌کشید و چاره‌ای نیز ندارید.,ضرر هنگفتی را متحمل می‌شوید حتما ترک کنید.,-1,Bad
217,انجام بده,خوب است با توکل به‌خدا و مشورت اقدام کنید.,به مشکلاتی بر می‌خورید ولی انشاءالله عاقبت بخیر خواهید شد حرفهایتان را تمام کنید.,مقداری اذیت خواهید شد با مشورت افراد خبره اقدام کنید ان‌شاءالله سود خواهید برد.,1,Good
219,انجام بده,خوب است با توکل به‌خدا اقدام کنید.,ان‌شاءالله که مبارک است با رعایت موازین شرعی اقدام کنید و به حرف مردم توجه نکنید.,معامله‌ی خوبی است با رعایت موازین شرعی اقدام کنید تا به حرام آلوده نشوید.,1,Good
221,انجام بده,خوب است با توکل به‌خدا اقدام کنید.,به‌خدا توکل کنید و با رعایت موازین شرعی اقدام کنید بحرف دیگران توجه نکنید.,با توکل به‌خدا اقدام کنید مواظب باشید به حرام نیافتید که در این صورت ضرر خواهید کرد.,1,Good
223,انجام نده,بد است به‌هیچ‌وجه اقدام نکنید که پشیمان خواهید شد.,مورد مناسبی نیست ترک کنید و الا یک عمر سختی خواهید کشید.,در این معامله خیری نیست ترک کنید.,-1,Bad
225,انجام نده,بد است زحمت بی‌فایده است ترک نمایید.,به آدمهای جاهل و نادان بر خورد می‌کنید و زندگی سخت و پر مشقتی خواهید داشت انجام ندهید.,زحمت بسیار و سود کم به این همه زحمت نمی‌ارزد ترک کنید.,-1,Bad
227,انجام نده,بد است خطر آبروریزی دارد ترک کنید.,در شأن و اندازه‌های هم نیستید و این اختلافات در آخر منجر به طلاق و جدایی خواهد شد.,خطر مالی و آبرویی دارد انجام ندهیدکه پشیمان خواهید شد.,-1,Bad
229,هرگز انجام نده,بسیار بد است با افراد جاهل برخورد می‌کنید و خطر آبروریزی شما را تهدید می‌کند.,اصلا اقدام نکنید که گرفتار خواهید شد و عمری را در حسرت و پشیمانی سر خواهید کرد.,ضرر و زیان زیادی خواهید دید حتما ترک کنید.,-2,VeryBad
231,هرگز انجام نده,بسیار بد است حتما ترک کنید که هم خطر جانی و هم آبرویی دارد.,حتما ترک کنید که غیر از بدبختی و ناراحتی چیز دیگری نیست.,هم خطر مالی و هم آبرویی دارد انجام ندهید.,-2,VeryBad
233,هرگز انجام نده,بسیار بد است حتما ترک کنید که به مسیری خواهید افتاد که آخرش پشیمانی و ندامت است.,اصلا اقدام نکنید که سخت پشیمان خواهید شد و زندگی بسیار بدی در انتظارتان است.,ضرر و زیان زیادی خواهید کرد ترک کنید.,-2,VeryBad
235,انجام نده,بد است دچار اختلاف و مشکلات زیادی خواهید شد ترک کنید.,بد است اختلاف زیادی در زندگی پیش خواهد آمد و دچار اذیت و آزار خواهید شد ترک کنید.,اختلافاتی پیدا خواهد شد و در آخر شما متضرر می‌شوید ترک نمایید.,-1,Bad
237,انجام نده,بد است به افراد نادان و جاهل روبرو می‌شوید و به این سبب دچار اذیت و آزار خواهید شد.,بد است در شأن شما نیستند و چیزی را از شما مخفی می‌کنند حتما ترک کنید.,بد است شما را فریب می دهند و در نتیجه ضرر خواهید کرد حتما ترک کنید.,-1,Bad
239,حتما انجام بده,بسیار خوب است مورد تحسین افرادی قرار می‌گیرید که در اول بکار شما خرده می‌گرفتند.,مورد مناسبی است از سختیها و مشکلات نهراسید که ارزش انجام را دارد.,مشکلاتی وجود دارد ولی با توجه به منفعت و سودی که نصیبتان خواهد شد ناچیز است.,2,VeryGood
241,انجام بده,خوب است با کمی صبر و حوصله به نتیجه مطلوبی می‌رسید.,زندگی خوبی خواهید داشت به‌خدا توکل کنید و اقدام کنید.,خوب است ان‌شاءالله سود خوبی نصیبتان خواهد شد.,1,Good
243,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کنید.,مشکلاتی وجود دارد ولی با توکل به‌خدا قابل حل است اقدام کنید.,از مشکلات نهراسید ان‌شاءالله سود خوبی نصیبتان خواهد شد.,2,VeryGood
245,انجام بده,خوب است ولی مشکلات و زحمت دارد حتی ممکن است حرف و حدیث درست شود ولی در نهایت نتیجه‌ی خوبی دارد.,خوب است اما زحمت دارد و در بعضی موارد باید سعه صدر داشته باشید.,به مشکلاتی بر می‌خورید ولی در آخر نتیجه‌ی خوبی دارد.,1,Good
247,انجام بده,خوب است مایه‌ی سرور و خوشحالی می‌شود صدقه دهید.,خوب است ان‌شاءالله که مبارک است صدقه فراموش نشود.,خوب است منفعت خوبی خواهید برد با توکل به‌خدا اقدام کنید.,1,Good
249,حتما انجام بده,بسیار خوب است بشرط آنکه مسائلتان را همه جا عنوان نکنی که بعضی تحمل ندارند که ...,بسیار خوب است توصیه‌های بالا را جدی بگیرید و صدقه بدهید.,معامله پر منفعتی است ولی قبل از انجام اسرار آنرا با کسی در میان نگذارید.,2,VeryGood
251,انجام نده,بد است و زیبائی‌های آن سرابی بیش نیست حتما ترک شود که در صورت انجام پشیمان خواهید شد.,گول ظواهر را نخورید مورد مناسبی نیست.,بد است سودی در آن وجود ندارد.,-1,Bad
253,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,ان‌شاءالله که مبارک است اقدام کنید.,سود خوبی خواهید برد با توکل به‌خدا اقدام کنید.,2,VeryGood
255,حتما انجام بده,بسیار خوب است به اعتراض‌ها اعتنا نکنید و کار خود را انجام دهید.,بسیار خوب است با توکل به‌خدا اقدام کنید.,پس از مشورت با افراد خبره اقدام کنید تا سود خوبی ببرید.,2,VeryGood
257,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کنید.,مورد مناسبی است اقدام کنید ان‌شاءالله عاقبت بخیر خواهید شد.,با توکل به‌خدا اقدام کنید سود خوبی خواهید برد.,2,VeryGood
259,انجام بده,خوب است اقدام کنید که به اهداف خود می‌رسید.,اقدام کنید ولی اول همه‌ی صحبتها را بگویید تا مشکلی پیش نیاید.,با رعایت همه‌ی جوانب اقدام کنید ان‌شاءالله سود خواهید برد.,1,Good
261,هرگز انجام نده,بسیار بد است به‌هیچ‌وجه انجام ندهید که به‌شدت پشیمان خواهید شد.,از فکرش بیرون بیایید که به‌هیچ‌وجه به صلاح شما نیست و در صورت انجام بدبخت خواهید شد.,در صورت انجام به‌شدت ضرر خواهید کرد انجام ندهید.,-2,VeryBad
263,انجام بده,خوب است با توکل به‌خدا انجام دهید که باعث سربلندی شما می‌گردد.,مورد مناسبی است با توکل به‌خدا اقدام کنید صدقه فراموش نشود.,سود خوبی خواهید برد ولی حتما صدقه بدهید.,1,Good
265,انجام بده,خوب است اضطراب شما نیز بی‌مورد است انجام دهید که به امید خدا به اهدافتان خواهید رسید.,مورد مناسبی است با توکل به‌خدا انجام دهید و از مشکلات نهراسید.,این قدر تردید نکنید انجام دهید خداوند روزی رسان است.,1,Good
267,هرگز انجام نده,بسیار بد است شما را می‌خواهند تا به اهداف خودشان برسند حتما ترک شود.,به‌هیچ‌وجه در شأن شما نیستند انجام ندهید به‌شدت پشیمان خواهید شد.,انجام ندهید که ضرر زیادی در انتظار شما است.,-2,VeryBad
269,انجام بده,خوب است ترس و نگرانی در خود راه ندهید و با توکل به‌خدا اقدام کنید.,مورد مناسبی است از مشکلات نهراسید که شیرینی زندگی در همین مسائل است.,سود خوبی خواهید برد ممکن است مقداری دوندگی داشته باشد ولی ارزش دارد.,1,Good
271,اختیار با توست,میانه است ترک آن به ثواب نزدیکتر است.,درگیری و اختلاف دیده می‌شود انجام ندهید.,با افراد خوبی برخورد نخواهید کرد انجام ندهید بهتر است.,0,Neutral
273,انجام نده,بد است انجام ندهید که اصلا به صلاح شما نیست.,به افراد پول دوست و مادی گرا بر خورد خواهید کرد و عذاب خواهید کشید انجام ندهید.,بد است سودی نخواهید برد و در صورت داشتن سود نیز امکان به‌حرام افتادن وجود دارد ترک شود.,-1,Bad
275,انجام نده,بد است به کسانی اتکا خواهید کرد که شما را به حرام می‌اندازند و بدبخت می‌کنند ترک شود.,اصلا در شأن شما نیستند انجام ندهید که به‌شدت پشیمان خواهید شد.,در این معامله روزی برای شما مقدر نشده انجام ندهید.,-1,Bad
277,هرگز انجام نده,بسیار بد است خطر مالی و آبروریزی دارد ترک شود.,نه این دنیا را خواهید داشت نه آن دنیا را- ترک کنید که به‌هیچ‌وجه به صلاح شما نیست.,ضرر هنگفتی خواهید کرد حتما ترک شود.,-2,VeryBad
279,انجام بده,خوب است از طعنه‌ها و حرف‌های نادانان نهراسید با توکل به‌خدا به اهدافتان خواهید رسید.,از حرفها و طعنه‌های افراد نادان جا نخورید مورد مناسبی است اقدام کنید عاقبت بخیر خواهید شد.,خوب است از مشکلات و حرفها ترسی بدل راه ندهید.,1,Good
281,حتما انجام بده,بسیار خوب است اگر تابه‌حال مرتکب عمل اشتباهی شده‌اید فرصت خوبی برای جبران است.,بسیار خوب است با این ازدواج به آرامش خواهید رسید مواظب باشید مرتکب گناه نشوید.,خوب است جبران بعضی از ضررهای گذشته می‌شود بشرط آنکه به گناه نیفتید.,2,VeryGood
283,هرگز انجام نده,بسیار بد است دچار مشکلات زیادی خواهید شد به‌هیچ‌وجه انجام ندهید.,مشکلات زیادی گریبان‌گیر شما خواهد شد حتما ترک شود و الا زندگی بسیار سخت و بدی خواهید داشت.,زحمت زیاد و در آخر هم زیان و ضرر - انجام ندهید که سخت پشیمان خواهید شد.,-2,VeryBad
285,انجام بده,خوب است بعضی اوقات جزئیات یک امر مهمتر است سعی کن با دقت انجام بدهی تا موفق شوی.,مطالب بالا را در نظر داشته باش و با توکل به‌خدا اقدام کن گفتار خوب و زبان شیرین تلخی بعضی مسائل را از بین می‌برد.,با تامل و دقت کامل انجام بده تا موفق شوی.,1,Good
287,هرگز انجام نده,بسیار بد است به‌هیچ‌وجه انجام ندهید که جز ضرر و پشیمانی عایدتان نخواهد شد.,بسیار بد است به‌هیچ‌وجه انجام ندهید که به‌شدت پشیمان خواهید شد.,بسیار بد است فریب خواهید خورد و ضرر فراوانی خواهید کرد.,-2,VeryBad
289,انجام نده,بد است شما را پلکان ترقی خودشان خواهند کرد و در آخر به‌شما پشت می‌کنند انجام ندهید.,گول ظاهر را نخورید با افراد ناسپاس و نمک نشناسی روبرو خواهید شد حتما ترک شود.,شما را فریب خواهند داد و ضرر زیادی را به‌شما تحمیل خواهند کرد ترک شود.,-1,Bad
291,حتما انجام بده,بسیار خوب است خیر دنیوی و اخروی دارد انجام دهید.,مورد مناسبی است با توکل به‌خدا اقدام کنید ان‌شاءالله عاقبت بخیر خواهید شد.,سود خوبی در انتظار شما است با توکل به‌خدا اقدام کنید.,2,VeryGood
293,حتما انجام بده,بسیار خوب است باعث خیر دنیوی و اخروی شما خواهد بود با توکل به خدا اقدام کنید.,مورد بسیار مناسبی است از مشکلات نهراسید پیشرفت‌های دنیوی و اخروی دارد.,سود خوبی خواهید برد با توکل به‌خدا اقدام کنید.,2,VeryGood
295,انجام بده,خوب است اسباب گشایش و توسعه رزق و روزی و رسیدن به اهدافتان خواهد بود.,مورد مناسبی است از مشکلات نهراسید و با توکل به‌خدا انجام دهید که حل بسیاری از مشکلات شما را درپی دارد.,خوب است سود خوبی نصیب شما خواهد شد با توکل به‌خدا اقدام کنید.,1,Good
297,انجام نده,بد است دچار افراد مادی گرا خواهید شد خطر آبرویی دارد حتما ترک شود.,این مورد اصلا مورد مناسبی نیست حتما ترک شود.,ضرر هنگفتی خواهید کرد انجام ندهید و گر نه به‌شدت پشیمان خواهید شد.,-1,Bad
299,انجام بده,خوب است با توکل به‌خدا انجام دهید ان‌شاءالله که موفق می‌شوید.,خوب است امید است که فرزندان صالحی نصیبتان شود خدا را در هر حالی فراموش نکنید.,خوب است ان‌شاءالله سود خوبی خواهید برد البته اگر مرتکب حرام نشوید.,1,Good
301,حتما انجام بده,بسیار خوب است ان‌شاءالله هم خیر دنیوی دارد و هم خیر اخروی. با توکل به‌خدا انجام دهید.,ان‌شاءالله که مبارک است با توکل به‌خدا اقدام کنید.,سود خوبی عایدتان می‌شود با توکل به‌خدا اقدام کنید.,2,VeryGood
303,حتما انجام بده,بسیار خوب است از نظر مالی و اعتبار به‌شما کمک می‌کند اقدام کنید.,مورد مناسبی است با توکل به‌خدا و توسل به ائمه (ع) اقدام کنید باعث آرامش روحی و زیادی روزی است.,سود خوبی عایدتان خواهد شد صدقه را فراموش نکنید.,2,VeryGood
305,انجام بده,بسیار خوب است به اهدافتان بطور کامل خواهید رسید به‌خدا توکل کنید تا در سایه‌ی رحمتش به نتیجه دلخواه برسید.,مورد بسیار مناسب و خوبی است ان‌شاءالله که مبارک است فرزند صالح و خوبی در آتیه این امر دیده می‌شود.,سود خوبی عایدتان خواهد شد خدا را هیچگاه فراموش نکنید که هر چه هست از وجود اوست.,1,Good
307,حتما انجام بده,بسیار خوب است ولی قبل از اقدام چیزی نذر کنید و صدقه دهید تا به‌تمام اهدافتان برسید.,ان‌شاءالله که مبارک است با توکل به‌خدا اقدام کنید.,منفعت خوبی در این معامله دیده می‌شود به‌شرطی که اسرار خود را برای هر کسی فاش نکنی.,2,VeryGood
309,حتما انجام بده,بسیار خوب است از غم و غصه ها رها می‌شوید و باعث آرامش شما می‌شود از مشکلات جزئی هراسی بخود راه ندهید.,مورد مناسبی است باعث آرامش فکری و روحی شما می‌شود با توکل به‌خدا اقدام کنید.,ان‌شاءالله سود زیادی خواهید برد و مشکلات شما تا حد زیادی حل خواهد شد.,2,VeryGood
311,هرگز انجام نده,بسیار بد است ضررهای مادی و معنوی زیادی خواهد داشت حتما ترک کنید.,به‌هیچ‌وجه ازدواج مناسبی نیست حتی احتمال تولد بچه‌های ناقص یا نازایی وجود دارد حتما ترک شود.,دچار ضرر و زیان خواهید شد و به مشکلات عدیده‌ای برخواهید خورد که تمامی ندارد ترک شود.,-2,VeryBad
313,حتما انجام بده,بسیار خوب است به اهداف خود می‌رسید در هر حال خدا را فراموش نکنید.,ازدواج مناسب و قرین با خوشبختی است مسائل شرعی را رعایت کنید تا خوشبخت شما دارای دوام باشد.,منفعت خوبی خواهید برد مسائل شرعی را رعایت کنید.,2,VeryGood
315,انجام بده,خوب است خدا را هیچ گاه فراموش نکنید و با توکل به‌خدا اقدام کنید.,خوب است در همه حال خدا را در نظر داشته باشید حرفتان را همان اول تمام کنید تا بعدها به مشکل بر نخورید.,با بررسی همه‌ی جوانب اقدام کنید ان‌شاءالله سود خوبی خواهید برد.,1,Good
317,انجام بده,خوب است کسی که نیت خوبی دارد نباید از مسائل و مشکلات بترسد. با توکل به‌خدا اقدام کنید.,از مشکلات نترسید شیرینی ازدواج به همین مسائل است خدا را در همه حال در نظر داشته باشید.,با فکر به مشکلات و بزرگ کردن مسائل به جائی نمی‌رسید به‌خدا توکل کنید که هر آنچه روزی شماست خواهد رسید.,1,Good
319,انجام بده,خوب است این قدر این پا و آن پا نکنید انجام بدهید و گرنه وقتی متوجه می‌شوید که پشیمانی سودی ندارد.,مورد مناسبی است دل دل نکنید که بعدا پشیمان می‌شوید که ای کاش...,اقدام کنید خداوند برکتش را خواهد داد.,1,Good
321,هرگز انجام نده,بسیار بد است انجام ندهید که به‌شدت  پشیمان و نادم خواهید شد.,بسیار بد است هیچگونه سنخیتی با هم ندارید حتما ترک شود.,حتی از فکرش هم بیرون بیایید به حرام خواهید افتاد و آثار بسیار بدی در زندگیتان بجا خواهد گذاشت.,-2,VeryBad
323,هرگز انجام نده,بسیار بد است خطر جانی و آبرویی دارد حتما ترک شود.,اختلافات زیادی با هم دارید و در صورت انجام به‌شدت پشیمان خواهید شد ولی آن وقت دیگر دیر است.,به‌هیچ‌وجه معامله‌ی خوبی نیست حتما ترک شود.,-2,VeryBad
325,انجام نده,بد است به دعوا و درگیری کشیده می‌شود و خطر آبرویی دارد حتما ترک شود.,زندگی بد و سراسر درگیری و نزاعی خواهد بود ترک شود.,مشکلات زیاد و در آخر هم سودی نخواهید برد ترک شود.,-1,Bad
327,انجام نده,بد است دچار مشکلات زیادی خواهید شد و در آخر به نتیجه نمی‌رسید که هیچ ممکن است آبرو ریزی هم بشود.,مورد مناسبی نیست در صورت انجام به‌شدت پشیمان خواهید شد ترک شود.,زحمت زیادی دارد و آخر هم به آنچه که مد نظر است نمی رسید. بد است.,-1,Bad
329,انجام بده,خوب است به اهدافتان خواهید رسید با توکل به‌خدا انجام دهید.,مورد مناسبی است با توکل به‌خدا اقدام کنید صدقه فراموش نشود.,سود خوبی خواهید برد با توکل به‌خدا و حفظ موازین شرعی اقدام کنید.,1,Good
331,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کنید صدقه فراموش نشود.,خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله عاقبت بخیر خواهید شد.,خوب است با توکل به‌خدا و رعایت شرایط اقدام کنید ان‌شاءالله سود خوبی خواهید برد.,2,VeryGood
333,حتما انجام بده,بسیار خوب است مشکلات شما تا حد زیادی با این کار حل خواهد شد. اقدام کنید.,مورد مناسبی است با توکل به‌خدا اقدام کنید بسیاری از مشکلات و ناراحتیهای شما با این ازدواج حل خواهد شد.,با رعایت جوانب اقدام نمایید تا سود خوبی نصیبتان شود.,2,VeryGood
335,انجام بده,خوب است با توکل به‌خدا اقدام کنید به اهدافتان خواهید رسید.,خوب است انسان مگر از ازدواج چه چیزی می‌خواهد با توکل به‌خدا اقدام کنید.,خوب است با مشورت با افراد خبره سود بهتری نصیبتان خواهد شد.,1,Good
337,انجام بده,خوب است از مشکلات نهراسید. با توکل به‌خدا انجام دهید ان‌شاءالله به اهدافتان خواهید رسید.,مورد مناسبی است ان‌شاءالله همه‌ی مشکلاتتان حل خواهد شد.,خوب است ان‌شاءالله سود خوبی خواهید برد.,1,Good
339,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله به اهدافتان خواهید رسید.,مورد بسیار مناسبی است با توکل به‌خدا اقدام کنید ان‌شاءالله که عاقبت‌به‌خیر خواهید شد.,خوب است ان‌شاءالله منفعت خوبی خواهید برد مواظب باشید مرتکب حرام نشوید که پشیمان خواهید شد.,2,VeryGood
341,هرگز انجام نده,بسیار بد است به مشکلات زیادی بر می‌خورید و به‌شدت پشیمان خواهید شد.,به‌هیچ‌وجه این کار را نکنید که به‌شدت پشیمان خواهید شد.,در صورت انجام ضرر هنگفتی خواهید کرد حتما ترک شود.,-2,VeryBad
343,اختیار با توست,میانه است فایده‌ای دارد ولی با زحمت بسیار زیاد در صورت تمایل به انجام صدقه بدهید و صبر داشته باشید.,میانه است اگر صبر و تحمل زیادی دارید انجام دهید و الا ترکش کنید بهتر است.,ممکن است سرمایه‌ی شما مدتی معطل بماند اگر اشکالی ندارد انجام بده و الا ترک کن.,0,Neutral
345,انجام نده,بد است اصلا صلاح نیست ترک کنید.,در شأن شما نیستند و در صورت انجام یکسری دعوا و مرافعه خواهید داشت.,بد است ضرر خواهید کرد و به‌هیچ کدام از چیزهایی که فکر می‌کنید نمی‌رسید.,-1,Bad
347,هرگز انجام نده,بسیار بد است دچار آدم‌های بدی خواهید شد و به سختی و عذاب دچار خواهید شد. حتما ترک شود.,به‌هیچ‌وجه مورد مناسبی نیست حتما ترک شود.,به آدمهای کلاهبرداری برخورد خواهید کرد هر چند در ظاهر خیلی خوب به‌نظر می‌رسند حتما ترک شود.,-2,VeryBad
349,انجام نده,بد است دچار مشکلات زیادی می‌شوید و در آخر هم به آنچه که می‌خواهید نمی‌رسید.,مورد مناسبی نیست دائما در حال جنگ و دعوا خواهید بود و زندگی بدی خواهید داشت ترک شود.,پس از زحمت فراوان آخر هم ضرر نصیب شما می‌شود ترک کنید.,-1,Bad
351,انجام نده,بد است مورد افتراء و تهمت قرار می‌گیرید حتما ترک شود.,به سختیها و مشقتهایی می‌افتید که از زندگی سیر می‌شوید ترک کنید.,بد است دچار ضرر و زیان خواهید شد ترک کنید.,-1,Bad
353,اختیار با توست,میانه خوب است اگر همه‌ی شرایط مهیا است انجام دهید و الا ترک کنید.,همه‌ی حرفها را اول بزنید و همه‌ی جوانب را در نظر بگیرید اگر همه‌ی شرایط مهیا است انجام دهید و الا ترک کنید.,اگر همه‌ی جوانب را سنجیده‌اید و مشکلی نیست انجام دهید و الا ترکش بهتر است.,0,Neutral
355,حتما انجام بده,بسیار خوب است خیر دنیا و آخرت در آن است حتما انجام دهید.,بسیار خوب است مگر انسان از یک ازدواج خوب چه تعریفی دارد حتما اقدام شود.,سود خوبی نصیبتان می‌شود اقدام کنید.,2,VeryGood
357,اختیار با توست,میانه خوب است انجام دهید هر چند ممکن است به همه‌ی اهداف خود نرسید.,خوب است البته اگر بشود.,خوب است هر چند ممکن است به همه‌ی اهداف خود نرسید.,0,Neutral
359,انجام بده,خوب است با مشورت افراد خبره و با توکل به‌خدا اقدام کنید.,احتیاج به اجازه دارد با تحقیق بیشتر اقدام نمایید تا بعدا دچار مشکل نشوید.,با لحاظ شرایط خوب و الا ترکش بهتر است.,1,Good
361,انجام نده,بد است پشیمانی شدید دارد ترک شود.,به درگیری و نزاع کشیده می‌شود زندگی بسیار بدی خواهید داشت ترک شود.,بد است دچار ضرر و زیان خواهید شد و پشیمانی شدید دارد ترک شود.,-1,Bad
363,انجام بده,خوب است اما زحمت زیاد دارد با توکل به‌خدا انجام دهید.,خوب است ولی خیلی سختی خواهید کشید و دچار زحمت خواهید شد اگر طاقتش را دارید انجام دهید.,سود خوبی نصیبتان می‌شود با توکل به‌خدا اقدام کنید و از مشکلات نهراسید.,1,Good
365,حتما انجام بده,بسیار خوب است با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان می‌رسید.,مورد مناسبی است ان‌شاءالله عاقبت بخیر خواهید شد.,ان‌شاءالله آن چه که در نظر دارید می‌شود با توکل به‌خدا اقدام کنید.,2,VeryGood
367,حتما انجام بده,بسیار خوب است از مشکلات نهراسید و با توکل به‌خدا انجام دهید ان‌شاءالله هر آنچه که در نظر دارید انجام می‌شود.,هر آنچه از یک ازدواج خوب می‌شود توقع داشت وجود دارد پس درنگ نکنید جایز نیست.,سود خوبی نصیبتان خواهد شد با توکل به‌خدا انجام دهید.,2,VeryGood
369,هرگز انجام نده,بسیار بد است فریب و نیرنگ در کار است حتما ترک شود.,چیزی از شما مخفی مانده است که اگر بدانید هرگز این کار را نخواهید کرد حتما ترک کنید.,به افراد مکار و حیله گری بر خواهید خورد به‌شدت متضرر می‌شوید ترک کنید.,-2,VeryBad
371,انجام بده,خوب است با زبان خوش و هدف خوب ان‌شاءالله به آنچه که می‌خواهید می‌رسید.,مورد مناسبی است شما هم با زبان خوش مسائلتان را مطرح نمایید ان‌شاءالله عاقبت بخیر خواهید شد.,با زبان خوش اقدام کنید معامله‌ی خوبی خواهد بود ان‌شاءالله .,1,Good
373,انجام نده,بد است حرف زده می‌شود ولی عمل نمی‌شود ترک کنید.,همه‌ی مسائل در حد حرفها باقی می‌ماند و عمل نمی‌شود اقدام نکنید که بعدا پشیمان خواهید شد.,است به حرفهایشان عمل نمی‌کنند و دچار اختلاف خواهید شد ترک شود.,-1,Bad
375,انجام نده,بد است دچار چه‌کنم چه‌کنم خواهید شد ترک شود.,اصلا از نظر طبع و رفتار بهم نمی‌خورید و دچار مشکلات فراوانی خواهید شد، ترک شود.,دچار افرادی خواهید شد که به‌هیچ وجه صراطی مستقیم نیستند ترک شود.,-1,Bad
377,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,مورد بسیار مناسبی است ان‌شاءالله عاقبت بخیر خواهید شد.,سود خوبی خواهید برد مستمندان را فراموش نکنید.,2,VeryGood
379,انجام بده,خوب است از مشکلات هم هراسی به‌دل راه ندهید. با توکل به‌خدا موفق می‌شوید.,خوب است هم خیر دنیا و خیر اخروی دارد با توکل به‌خدا انجام دهید.,خوب است خیر دنیوی و اخروی دارد با توکل به‌خدا انجام دهید.,1,Good
381,انجام نده,بد است دچار اختلاف و مجادله خواهید شد ترک شود.,دچار اختلاف و درگیری خواهید شد و به جدایی خواهد انجامید.,دچار اختلاف و درگیری خواهید شد ترک شود.,-1,Bad
383,انجام نده,بد است به چه‌کنم چه‌کنم گرفتار خواهید شد ترک شود.,همه‌ی زندگی دچار اختلاف خواهید شد و دائما از شما بابت هر کاری پرس و جو می‌شود ترک شود.,به مشکلات و شرایط سختی بر می‌خورید ترک شود.,-1,Bad
385,انجام بده,خوب است الان شرایط انجام این کار را دارا هستید با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,ان‌شاءالله که مبارک است مورد بسیار مناسبی است اقدام کنید.,خوب است ان‌شاءالله به هدف مورد نظرتان دست می‌یابید همه‌ی جوانب را در نظر داشته باشید.,1,Good
